statementNumber,speaker,NstopWords,NposWords,NnegWords,NposPorter,NnegPorter,NposSnowball,NnegSnowball,NposLancaster,NnegLancaster
1,LEHRER,162,14,3,28,11,28,12,47,39
2,OBAMA,185,16,11,33,18,34,18,53,39
3,LEHRER,5,0,0,0,0,0,0,0,0
4,ROMNEY,192,25,13,34,21,34,21,67,49
5,LEHRER,12,1,3,2,3,2,3,3,3
6,OBAMA,204,14,8,31,16,32,17,51,47
7,LEHRER,21,1,0,2,2,2,2,5,5
8,ROMNEY,296,20,10,40,30,43,31,94,70
9,OBAMA,104,9,6,16,15,16,16,35,26
10,LEHRER,2,1,0,1,0,1,0,2,0
11,OBAMA,79,8,3,15,7,15,7,34,18
12,LEHRER,13,4,0,4,2,4,2,5,4
13,ROMNEY,9,2,1,2,2,2,2,2,2
14,LEHRER,2,1,0,1,0,1,0,2,0
15,ROMNEY,174,16,4,23,19,23,19,66,58
16,LEHRER,7,1,1,1,1,1,1,1,1
17,OBAMA,202,14,4,32,27,32,27,56,51
18,LEHRER,2,1,0,1,0,1,0,2,0
19,ROMNEY,6,1,0,2,0,2,0,2,3
20,LEHRER,3,2,0,2,0,2,0,2,0
21,ROMNEY,4,0,0,0,1,0,1,0,1
22,LEHRER,9,1,2,4,2,4,2,5,2
23,ROMNEY,2,1,0,1,0,1,0,1,0
24,LEHRER,22,2,3,4,4,4,4,9,7
25,ROMNEY,147,11,2,15,26,15,28,42,53
26,OBAMA,138,16,5,22,14,22,14,54,34
27,ROMNEY,10,0,0,0,0,0,0,1,1
28,LEHRER,8,1,0,1,0,1,0,1,1
29,ROMNEY,132,8,4,11,9,11,9,41,34
30,LEHRER,37,1,1,1,3,1,3,6,10
31,ROMNEY,121,13,2,23,13,22,13,49,27
32,OBAMA,2,0,0,1,0,1,0,1,0
33,ROMNEY,99,7,1,12,2,12,2,23,12
34,LEHRER,5,0,0,0,0,0,0,0,0
35,OBAMA,221,11,6,24,16,25,16,70,41
36,LEHRER,4,0,1,0,1,0,1,0,1
37,OBAMA,6,1,0,2,0,2,0,4,1
38,LEHRER,4,0,0,0,0,0,0,1,0
39,OBAMA,2,0,1,0,1,0,1,0,1
40,LEHRER,7,1,0,1,0,1,0,1,0
41,ROMNEY,5,0,0,0,0,0,0,1,0
42,LEHRER,5,1,1,1,1,1,1,2,1
43,ROMNEY,14,0,1,0,1,0,1,3,3
44,OBAMA,11,1,0,1,0,1,0,1,1
45,ROMNEY,154,9,6,14,18,14,18,39,42
46,LEHRER,6,0,0,1,1,1,1,1,1
47,ROMNEY,2,0,0,0,0,0,0,0,0
48,LEHRER,3,0,0,0,0,0,0,0,0
49,OBAMA,3,1,0,1,0,1,0,1,0
50,LEHRER,8,0,0,0,0,1,0,2,2
51,OBAMA,11,0,0,0,0,0,0,1,3
52,ROMNEY,57,0,3,3,5,3,5,15,10
53,LEHRER,12,1,0,1,0,2,0,3,1
54,OBAMA,253,23,8,42,20,42,20,77,48
55,ROMNEY,12,0,0,0,0,0,0,1,1
56,LEHRER,4,0,0,1,0,1,0,1,1
57,ROMNEY,30,0,0,0,3,0,3,3,6
58,OBAMA,3,0,0,1,0,1,0,2,0
59,ROMNEY,106,9,4,14,10,14,10,27,21
60,LEHRER,2,0,0,0,0,0,0,0,0
61,ROMNEY,108,9,4,25,5,25,5,41,23
62,LEHRER,3,0,0,0,0,0,0,0,0
63,ROMNEY,11,3,0,4,0,4,0,6,4
64,LEHRER,8,0,0,0,0,0,0,1,4
65,OBAMA,2,0,0,0,0,0,0,0,0
66,LEHRER,21,3,0,3,0,3,0,6,1
67,OBAMA,191,30,5,43,12,44,15,59,43
68,LEHRER,10,1,0,1,0,1,0,2,2
69,ROMNEY,190,16,7,28,11,28,12,48,33
70,LEHRER,3,0,0,0,0,0,0,0,0
71,OBAMA,27,5,0,6,1,6,1,10,5
72,LEHRER,2,1,0,1,0,1,0,1,0
73,OBAMA,3,0,0,0,0,0,0,0,0
74,ROMNEY,2,0,0,0,0,0,0,0,0
75,OBAMA,2,0,0,1,0,1,0,1,0
76,ROMNEY,5,1,0,1,0,1,0,2,1
77,OBAMA,160,22,4,37,10,37,11,57,32
78,LEHRER,10,1,0,4,0,4,0,4,1
79,ROMNEY,14,1,0,2,0,2,0,2,1
80,LEHRER,3,0,0,0,0,0,0,0,0
81,ROMNEY,151,15,4,25,6,25,8,44,24
