electionTiming,desk,NonstopWords,NposPorter,NnegPorter
1,Business/Financial Desk,1556,82,67
1,Business/Financial Desk,658,38,12
1,Business/Financial Desk,1350,72,23
1,Business/Financial Desk,1478,76,40
1,Business/Financial Desk,602,28,15
1,Business/Financial Desk,452,28,5
1,Business/Financial Desk,868,54,35
1,Business/Financial Desk,1772,107,45
1,Business/Financial Desk,1152,79,37
1,Business/Financial Desk,1224,63,25
1,Business/Financial Desk,1476,99,49
1,Business/Financial Desk,584,23,20
1,Business/Financial Desk,504,30,16
1,Business/Financial Desk,1578,94,55
1,Business/Financial Desk,1240,65,65
1,The Arts/Cultural Desk,994,93,55
1,The Arts/Cultural Desk,518,45,18
1,The Arts/Cultural Desk,1098,78,69
1,The Arts/Cultural Desk,1252,96,44
1,The Arts/Cultural Desk,1016,51,28
1,Business/Financial Desk,1606,112,64
1,The Arts/Cultural Desk,1354,72,68
1,The Arts/Cultural Desk,1294,91,25
1,The Arts/Cultural Desk,460,17,19
1,The Arts/Cultural Desk,1324,67,50
1,The Arts/Cultural Desk,400,21,11
1,The Arts/Cultural Desk,608,31,18
1,The Arts/Cultural Desk,1460,70,29
1,The Arts/Cultural Desk,830,58,33
1,National Desk,492,23,17
1,Foreign Desk,626,38,25
1,Foreign Desk,1202,57,41
1,Sports Desk,914,49,36
1,Foreign Desk,684,28,44
1,Foreign Desk,1178,60,56
1,Sports Desk,790,38,17
1,National Desk,1226,65,57
1,National Desk,1294,93,61
1,Sports Desk,974,64,38
1,Sports Desk,886,32,46
1,Editorial Desk,618,41,25
1,Editorial Desk,554,30,27
1,Editorial Desk,822,51,56
1,Editorial Desk,522,35,23
1,Editorial Desk,644,46,30
1,National Desk,1312,71,47
1,National Desk,636,27,20
1,National Desk,1054,82,58
1,Foreign Desk,566,22,33
1,National Desk,1748,102,45
1,Foreign Desk,1370,111,90
1,National Desk,2042,110,83
1,National Desk,636,34,10
1,National Desk,1424,61,77
1,Foreign Desk,644,55,20
1,National Desk,980,64,33
1,National Desk,658,34,27
1,Sports Desk,1186,54,60
1,Editorial Desk,632,33,31
1,Editorial Desk,952,66,67
1,Sports Desk,908,54,33
1,Sports Desk,554,27,16
1,Sports Desk,1766,118,57
1,Sports Desk,1258,67,63
1,Sports Desk,1078,73,45
1,Editorial Desk,840,52,48
1,National Desk,1368,82,40
1,National Desk,740,36,27
1,Foreign Desk,786,24,31
1,National Desk,1714,100,50
1,Foreign Desk,550,43,13
1,Foreign Desk,422,27,25
1,Foreign Desk,1054,65,23
1,Editorial Desk,386,20,17
1,Sports Desk,828,52,40
1,Foreign Desk,388,17,19
1,Foreign Desk,1008,44,46
1,National Desk,1782,118,74
1,National Desk,2050,139,101
1,National Desk,2246,152,70
1,National Desk,1768,93,48
1,Foreign Desk,1960,82,54
1,The Arts/Cultural Desk,394,25,21
1,National Desk,968,65,39
1,Foreign Desk,836,35,35
2,Health & Fitness,610,45,33
2,Science Desk,1134,47,35
2,Health & Fitness,1050,92,43
2,Health & Fitness,1454,60,55
2,Health & Fitness,716,66,17
2,Health & Fitness,1350,102,90
2,Science Desk,2070,133,141
2,Health & Fitness,846,41,45
2,Science Desk,1198,66,29
2,Science Desk,1642,81,40
2,Health & Fitness,382,22,9
2,Science Desk,1948,79,63
2,Science Desk,874,63,15
2,The Arts/Cultural Desk,1078,79,44
2,The Arts/Cultural Desk,826,35,36
2,The Arts/Cultural Desk,588,30,14
2,The Arts/Cultural Desk,466,27,10
2,The Arts/Cultural Desk,1230,96,57
2,The Arts/Cultural Desk,1154,74,78
2,Business/Financial Desk,1574,80,28
2,Business/Financial Desk,1062,37,26
2,Business/Financial Desk,1080,46,20
2,Business/Financial Desk,860,52,31
2,The Arts/Cultural Desk,406,20,27
2,The Arts/Cultural Desk,472,43,9
2,The Arts/Cultural Desk,1028,86,48
2,The Arts/Cultural Desk,514,30,15
2,The Arts/Cultural Desk,826,58,50
2,The Arts/Cultural Desk,1338,69,64
